Id,Prediction
fadg0_si1279_1,iy
fadg0_si1279_2,iy
fadg0_si1279_3,iy
fadg0_si1279_4,iy
fadg0_si1279_5,iy
fadg0_si1279_6,iy
fadg0_si1279_7,iy
fadg0_si1279_8,iy
fadg0_si1279_9,iy
fadg0_si1279_10,oy
fadg0_si1279_11,oy
fadg0_si1279_12,n
fadg0_si1279_13,oy
fadg0_si1279_14,ey
fadg0_si1279_15,m
fadg0_si1279_16,er
fadg0_si1279_17,er
fadg0_si1279_18,ih
fadg0_si1279_19,ih
fadg0_si1279_20,r
fadg0_si1279_21,r
fadg0_si1279_22,sil
fadg0_si1279_23,sil
fadg0_si1279_24,g
fadg0_si1279_25,f
fadg0_si1279_26,n
fadg0_si1279_27,r
fadg0_si1279_28,sil
fadg0_si1279_29,b
fadg0_si1279_30,b
fadg0_si1279_31,sil
fadg0_si1279_32,sil
fadg0_si1279_33,ey
fadg0_si1279_34,ng
fadg0_si1279_35,ng
fadg0_si1279_36,ng
fadg0_si1279_37,iy
fadg0_si1279_38,n
fadg0_si1279_39,n
fadg0_si1279_40,ah
fadg0_si1279_41,ah
fadg0_si1279_42,ah
fadg0_si1279_43,jh
fadg0_si1279_44,jh
fadg0_si1279_45,d
fadg0_si1279_46,d
fadg0_si1279_47,d
fadg0_si1279_48,d
fadg0_si1279_49,d
fadg0_si1279_50,d
fadg0_si1279_51,d
fadg0_si1279_52,d
fadg0_si1279_53,d
fadg0_si1279_54,p
fadg0_si1279_55,p
fadg0_si1279_56,p
fadg0_si1279_57,ay
fadg0_si1279_58,w
fadg0_si1279_59,w
fadg0_si1279_60,ow
fadg0_si1279_61,ih
fadg0_si1279_62,ih
fadg0_si1279_63,ih
fadg0_si1279_64,uw
fadg0_si1279_65,uw
fadg0_si1279_66,uw
fadg0_si1279_67,ae
fadg0_si1279_68,ae
fadg0_si1279_69,ay
fadg0_si1279_70,ay
fadg0_si1279_71,ay
fadg0_si1279_72,m
fadg0_si1279_73,t
fadg0_si1279_74,n
fadg0_si1279_75,n
fadg0_si1279_76,s
fadg0_si1279_77,uw
fadg0_si1279_78,aa
fadg0_si1279_79,aa
fadg0_si1279_80,aa
fadg0_si1279_81,aa
fadg0_si1279_82,p
fadg0_si1279_83,p
fadg0_si1279_84,ih
